window_start,window_end,n_signals,accuracy,mean_p_up
43800,46800,1412,0.5212464589235127,0.5569102850666127
44300,47300,1447,0.5107118175535591,0.5600519379254614
44800,47800,1392,0.5014367816091954,0.5611440870782425
45300,48300,1280,0.51171875,0.562916980823502
45800,48800,1173,0.5072463768115942,0.5599801845257849
46300,49300,1117,0.4977618621307073,0.5588099055238995
46800,49800,1091,0.5087076076993584,0.5602212165278322
47300,50300,1105,0.5257918552036199,0.5595522629189815
47800,50800,1168,0.5111301369863014,0.559870396217663
48300,51300,1105,0.5122171945701357,0.5582049183716062
48800,51800,1164,0.4991408934707904,0.5594752087830678
49300,52300,1333,0.48237059264816207,0.5646011710435219
49800,52800,1248,0.47596153846153844,0.5619380090099114
50300,53300,1284,0.45249221183800625,0.5614171358190965
50800,53800,1172,0.46331058020477817,0.5606443665845402
51300,54300,1084,0.46309963099630996,0.5590398749302234
51800,54800,1053,0.47388414055080724,0.5566814837292728
52300,55300,926,0.47840172786177104,0.5505752775246845
52800,55800,903,0.5193798449612403,0.5502353045235441
53300,56300,922,0.5314533622559653,0.5502011996417139
53800,56800,1187,0.5004212299915753,0.5531186617615852
54300,57300,1413,0.4996461429582449,0.5567978781246582
54800,57800,1349,0.5092661230541141,0.5571827841653393
55300,58300,1359,0.5253863134657837,0.555449889458831
55800,58800,1392,0.507183908045977,0.5598864113034188
56300,59300,1594,0.49247176913425345,0.5629498784709605
56800,59800,1347,0.48997772828507796,0.5619763889928703
57300,60300,1395,0.4853046594982079,0.5629107188153011
57800,60800,1555,0.4604501607717042,0.5662310946409342
58300,61300,1578,0.46070975918884666,0.5682149227278919
58800,61800,1471,0.47178789938817134,0.5660753134235406
59300,62300,1276,0.49059561128526646,0.5640424176536757
59800,62800,1275,0.5027450980392156,0.5625744692484538
60300,63300,1173,0.5191815856777494,0.55950893765317
60800,63800,954,0.5461215932914046,0.5514051468742218
61300,64300,1094,0.5383912248628885,0.5495921432754022
61800,64800,1095,0.5378995433789955,0.5486857816508915
62300,65300,1126,0.5301953818827708,0.5477568116005953
62800,65800,1167,0.5424164524421594,0.5482468702084199
63300,66300,1103,0.5231187669990934,0.5479066207099804
63800,66800,1049,0.5252621544327931,0.5492273448647716
64300,67300,903,0.530454042081949,0.5503394609009836
64800,67800,1202,0.4717138103161398,0.5596937388429626
65300,68300,1421,0.47149894440534834,0.5689107971154495
65800,68800,1338,0.4671150971599402,0.5697981291109493
66300,69300,1445,0.45674740484429066,0.5673161186973942
66800,69800,1615,0.4452012383900929,0.5640891473728806
67300,70300,1791,0.45114461194863203,0.5674081609809551
67800,70800,1670,0.46107784431137727,0.5682083985762681
68300,71300,1536,0.4479166666666667,0.5657603290552894
68800,71800,1639,0.46674801708358754,0.5666520613006443
